max-mb,res-mb,max-vcores,cpu-vcores,vmem:pmem,cpu-limit,CPU_MILLISECONDS,PHYSICAL_MEMORY_BYTES,VIRTUAL_MEMORY_BYTES,COMMITTED_HEAP_BYTES,elapsedTime,
256,256,4,4,2,30,1830,277860352,849014784,191365120,1
256,256,4,4,2,30,1870,284921856,848158720,191365120,1
256,256,4,4,2,30,1830,279457792,842752000,191365120,0
256,256,4,4,2,30,1800,275136512,841863168,198180864,1
256,256,4,4,2,30,1440,283213824,845479936,197132288,1
256,256,4,4,2,30,1800,278810624,848109568,198180864,0
256,256,4,4,2,30,1740,272166912,832532480,198180864,1
256,256,4,4,2,30,1770,279056384,847060992,198180864,1
256,256,4,4,2,30,1820,275533824,842682368,198180864,0
256,256,4,4,2,30,2020,280580096,847679488,199753728,0
256,256,4,4,2,30,1980,236232704,846311424,114294784,1
256,256,4,4,2,30,1900,230440960,842969088,126353408,1
256,256,4,4,2,30,1830,281944064,846520320,199753728,0
256,256,4,4,2,30,1940,235114496,847282176,112197632,1
256,256,4,4,2,30,1930,280137728,846876672,198705152,0
256,256,4,4,2,30,2050,292880384,848642048,198705152,0
256,256,4,4,2,30,2140,245743616,846565376,126353408,0
256,256,4,4,2,30,860,268988416,832524288,204472320,0
256,256,4,4,2,30,1770,280489984,847642624,191365120,0
256,256,4,4,2,30,870,272216064,842260480,204472320,0
256,256,4,4,2,30,810,269873152,843657216,204472320,1
256,256,4,4,2,30,1780,280723456,840617984,191365120,1
256,256,4,4,2,30,800,268668928,845213696,204472320,1
256,256,4,4,2,30,1740,286318592,832524288,198180864,0
256,256,4,4,2,30,1960,280576000,848424960,198180864,0
256,256,4,4,2,30,870,272900096,844189696,204472320,1
256,256,4,4,2,30,1780,274145280,843841536,191365120,0
256,256,4,4,2,30,1670,274374656,832499712,198180864,0
256,256,4,4,2,30,1870,277716992,840822784,198180864,1
256,256,4,4,2,30,870,274468864,832524288,204472320,0
256,256,4,4,2,30,1790,280760320,841383936,198180864,0
256,256,4,4,2,30,820,267423744,842833920,204472320,1
256,256,4,4,2,30,850,271577088,841367552,204472320,0
256,256,4,4,2,30,2030,282599424,847220736,199753728,0
256,256,4,4,2,30,1950,245342208,845049856,123731968,1
256,256,4,4,2,30,2030,235749376,848400384,111673344,0
256,256,4,4,2,30,2120,293949440,846413824,198705152,0
256,256,4,4,2,30,2140,288305152,832532480,198705152,1
256,256,4,4,2,30,2090,291901440,848203776,198705152,0
256,256,4,4,2,30,2130,290185216,846499840,198705152,0
256,256,4,4,2,30,2010,246874112,832376832,114294784,0
256,256,4,4,2,30,1820,278528000,847675392,191365120,1
256,256,4,4,2,30,860,283873280,832524288,204472320,0
256,256,4,4,2,30,1790,278011904,848904192,198180864,0
256,256,4,4,2,30,780,273059840,841396224,204472320,1
256,256,4,4,2,30,1920,280084480,846082048,198180864,0
